45.131.182.0/24,NL,NL-DR,Meppel,7942KG
213.134.31.0/24,NL,NL-DR,Meppel,7942KG
2a13:4ac0::/46,NL,NL-DR,Meppel,7942KG
2a13:4ac0:4::/46,NL,NL-DR,Meppel,7942KG
45.131.183.0/24,PL,PL-30,Poznan,61-248 
91.198.166.0/24,PL,PL-30,Poznan,61-248 
185.253.7.0/24,PL,PL-30,Poznan,61-248 
2a13:4ac0:8::/46,PL,PL-30,Poznan,61-248 
2a13:4ac0:c::/46,PL,PL-30,Poznan,61-248 
194.26.232.0/24,NL,NL-NH,Oude Meer,1438AN
109.107.157.0/24,NL,NL-NH,Oude Meer,1438AN
2a13:4ac0:10::/46,NL,NL-NH,Oude Meer,1438AN
2a13:4ac0:14::/46,NL,NL-NH,Oude Meer,1438AN
62.233.53.0/24,NL,NL-NH,Oude Meer,1438AN
194.62.105.0/24,NL,NL-NH,Oude Meer,1438AN
193.3.168.0/24,NL,NL-NH,Oude Meer,1438AN
185.241.61.0/24,NL,NL-NH,Oude Meer,1438AN
185.237.165.0/24,NL,NL-NH,Oude Meer,1438AN
193.169.105.0/24,NL,NL-NH,Oude Meer,1438AN
185.251.25.0/24,NL,NL-NH,Oude Meer,1438AN
194.15.46.0/24,NL,NL-NH,Oude Meer,1438AN
212.86.114.0/24,NL,NL-NH,Oude Meer,1438AN
212.86.115.0/24,NL,NL-NH,Oude Meer,1438AN
185.229.251.0/24,US,US-NJ,Edison,08837
5.8.248.0/24,US,US-NJ,Edison,08837
2a13:4ac0:0018::/46,US,US-NJ,Edison,08837
2a13:4ac0:001c::/46,US,US-NJ,Edison,08837